Source,SS,DF,MS,F,p_unc,np2,outcome
mt,750.3125,1,750.3125,4.389295349669593,0.03949671659920993,0.0546004953840864,FMA Total Δ
pg,409.51250000000005,1,409.51250000000005,2.395630236576852,0.12582900902280025,0.0305582113358549,FMA Total Δ
mt * pg,738.1124999999993,1,738.1124999999993,4.317925882592912,0.04108973289938916,0.05376042564775349,FMA Total Δ
Residual,12991.55,76,170.94144736842105,,,,FMA Total Δ
mt,132.6125,1,132.6125,2.0882343800180263,0.1525482517954306,0.02674198484057905,FMA Proximal Δ
pg,43.512499999999974,1,43.512499999999974,0.685186528121665,0.4103981896266553,0.008935057201307012,FMA Proximal Δ
mt * pg,78.01249999999891,1,78.01249999999891,1.2284542148828652,0.2712031172699967,0.015906756484660122,FMA Proximal Δ
Residual,4826.35,76,63.5046052631579,,,,FMA Proximal Δ
mt,252.04999999999995,1,252.04999999999995,6.094944159852365,0.01580285083847725,0.07424262507547975,FMA Distal Δ
pg,186.04999999999995,1,186.04999999999995,4.498965923191956,0.03717637777895297,0.055888493368779935,FMA Distal Δ
mt * pg,336.1999999999998,1,336.1999999999998,8.129816411594383,0.005603797443582475,0.09663418700238564,FMA Distal Δ
Residual,3142.8999999999996,76,41.353947368421046,,,,FMA Distal Δ
mt,572.45,1,572.45,5.623644377803344,0.02025309486498653,0.06889724687829096,ARAT Δ
pg,806.4500000000002,1,806.4500000000002,7.92241769321252,0.00621421768059267,0.09440168563987009,ARAT Δ
mt * pg,499.9999999999982,1,499.9999999999982,4.911908793609331,0.02966404480542964,0.060706870803637354,ARAT Δ
Residual,7736.299999999999,76,101.79342105263157,,,,ARAT Δ
mt,165.3125,1,165.3125,0.8573743922204214,0.357405502407942,0.01115539528900698,BI Δ
pg,0.3125,1,0.3125,0.0016207455429497568,0.9679926235984804,2.1325144477853838e-05,BI Δ
mt * pg,690.3125,1,690.3125,3.580226904376013,0.06227996887174851,0.04498890042972648,BI Δ
Residual,14653.75,76,192.8125,,,,BI Δ
